+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; inst11|$00000|auto_generated                                                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst8|tst_ptrn_inst0|bus_sync_reg1                                                                                                                                   ; 18    ; 5              ; 0            ; 5              ; 16     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst8|tst_ptrn_inst0|bus_sync_reg0                                                                                                                                   ; 18    ; 5              ; 0            ; 5              ; 16     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst8|tst_ptrn_inst0|sync_reg0                                                                                                                                       ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst8|tst_ptrn_inst0                                                                                                                                                 ; 35    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst8|sync_reg1                                                                                                                                                      ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst8|sync_reg0                                                                                                                                                      ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst8                                                                                                                                                                ; 89    ; 2              ; 0            ; 2              ; 26     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[12].altgpio_bit_i                                                                                                            ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[11].altgpio_bit_i                                                                                                            ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[10].altgpio_bit_i                                                                                                            ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[9].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[8].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[7].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[6].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[5].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[4].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
; inst17|ddrox13_inst|gpio_one_bit.i_loop[3].altgpio_bit_i                                                                                                             ; 12    ; 5              ; 6            ; 5              ; 4      ; 5               ; 5             ; 5               ; 2     ; 0              ; 1            ; 0                ; 1                 ;
